URL,Label
"www.copyservice.kz/news.html
  ",Bad
"ukv.app.goo.gl/eRgRTcVEMWHuzZA
  ",Bad
"--.repl.co/
  ",Good
"cpanelwh.bkk.cloud.z.com/~cp/var...
  ",Good
"mbankscz.online/unlock
  ",Good
"mbankscz.online
  ",Good
"yd-cbc.firebaseapp.com/__/au/action?apiKey=AIzaSyDIGu-u...
  ",Bad
"luhkf.page.link/?link=yd-cbc.firebaseapp.com/_...
  ",Bad
"SP//alerts.makeindiawork.in/public/read_message.jsp?tsp=...
  ",Bad
"www.inchfi.pro/?fbclid=IwARReRboQDAWAxBChFkZykplRgmhd...
  ",Bad
"app-coin-galages.blogspot.com/
  ",Bad
"saboremio.com.br/mail.php
  ",Good
"linkprotect.cudasvc.com/url?a=http%a%f%fsaboremio.com.br%f...
  ",Bad
"eb.ln.cloudxperts.co.za/?=#redacted@abuse.ionos.com...
  ",Good
"confusionnn.com
  ",Bad
"wordpress--.cloudclusters.net/opt/optus/...
  ",Good
"pxb.a.myftpupload.com/aichadwibawait...
  ",Good
"obgynclub-bahrain.com/obgyn/kjjvt/confirmation.html...
  ",Good
"obgynclub-bahrain.com/obgyn/kjjvt/Login.php?sslchannel=tru...
  ",Good
"ericanasmegaoferta.com/ericanas/endere%C%Ao/...
  ",Bad
"natori.biz
",Bad
"lojasericanasemofertas.com/ericanas/login/...
  ",Bad
"cozinhadoano.com/ericanas/carrinho/...
  ",Bad
"showdeprimaverapromocional.com/ericanas/carrinho/...
  ",Bad
"ericanasmegaoferta.com/ericanas/login/...
  ",Bad
"mps--filiale.me/
  ",Bad
"mps--filiale.me/
  ",Bad
"newquestcrt.com/magalu-fatura/inicio/
  ",Bad
"novembro-blackdalu.online/magalu/pagento/...
  ",Bad
"masterline.com/magalu-fatura/inicio/...
  ",Bad
"ofertas-finaldoano.com/magalu/produto/...
  ",Bad
"macaronicloing.com/wp-content/plugins/ezlout/website/...
  ",Bad
"xn--www-ofus-touch-jb.com/fr/mmorpg/actualites/news/breches-p...
  ",Bad
"s.id/nMC
  ",Bad
"u.to/efHA
  ",Bad
"saldao-bikeksw-e.online/ericanas/produto/...
  ",Bad
"apppromoedigitalfimdeano.com/ericanas/endere%C%Ao/...
  ",Bad
"saldao-bikeksw-e.online/ericanas/carrinho/...
  ",Bad
"e-pix-black.com/ericanas/produto/
  ",Bad
"obgynclub-bahrain.com/obgyn/kjjvt/confirmation.html...
  ",Good
"obgynclub-bahrain.com/obgyn/kjjvt/Login.php?sslchannel=tru...
  ",Good
"mikaros.cz/wordpress/#
  ",Good
"bogovirtualbank.djsak.repl.co/
  ",Good
"optus-equifax.herokuapp.com
  ",Bad
"nacional.bncrnacional.repl.co/
  ",Good
"nitorichina-net.cn
  ",Bad
"verivikasipembloki.wixsite.com/peringatan/masuk...
  ",Good
"apppromoedigitalfimdeano.com/ericanas/login/...
  ",Bad
"meviapedidos.com/ericanas/produto/...
  ",Bad
"e-ofertas-.com/ericanas/login/...
  ",Bad
"descontoe.com/ericanas/produto/
  ",Bad
"mespromocoes.com/ericanas/endere%C%Ao/...
  ",Bad
"xn--promooblackdomes-inbe.com/ericanas/produto/...
",Bad
"superdescontoavista.com/ericanas/endere%C%Ao/...
",Bad
"superdescontoavista.com/ericanas/endere%C%Ao/...
",Bad
"superdescontoavista.com/ericanas/pagento/...
",Bad
"e-pix-black.com/ericanas/carrinho/...
",Bad
"ericanasbr.com/ericanas/endere%C%Ao/...
",Bad
"novembroblakfday.com/ericanas/produto/...
",Bad
"tudooerpromo.com/ericanas/produto/...
",Bad
"appericana.com/ericanas/produto/
",Bad
"semanablackericanas.com/ericanas/carrinho/...
",Bad
"cozinharenovada.com/ericanas/endere%C%Ao/...
",Bad
"elkodus.org
",Bad
"representantericanaa.com/ericanas/produto/...
",Bad
"mespromocoes.com/ericanas/login/
  ",Bad
"e-supercashback.online/ericanas/endere%C%Ao/...
  ",Bad
"paxfulcb.vip/
 ",Bad
"paxfulcb.vip
 ",Good
"great.ledfier.top/
 ",Good
"ever.diition.top/
 ",Good
"e-pix-black.com/ericanas/produto/
  ",Bad
"eofertasericana.com/ericanas/carrinho/...
  ",Bad
"produtosblacknovember.com/ericanas/produto/...
  ",Bad
"receitas-de-bolo.com/ericanas/produto/...
  ",Bad
"ericanaapp.com/ericanas/produto/
  ",Bad
"semanablackericanas.com/ericanas/produto/...
  ",Bad
"susbxf.online/cdcfafbc/product/SKU?...
  ",Bad
"mlconsulte.com/
  ",Bad
"taplink.cc/servicosmaga
  ",Bad
"casasbahiacbcb.com/casasbahia/produto/...
  ",Bad
"casasbahiacomercioo.com/casasbahia/carrinho/...
  ",Bad
"casasbahialine.com/casasbahia/produto/...
  ",Bad
"culinariafeliz.com/casasbahia/carrinho/...
  ",Bad
"setecpedidosonnline.com/ericanas/produto/...
  ",Bad
"produtosblacknovember.com/ericanas/carrinho/...
  ",Bad
"appedigitalpromofimdeano.com/ericanas/carrinho/...
  ",Bad
"e-supercashback.online/ericanas/login/...
  ",Bad
"receitas-de-bolo.com/ericanas/carrinho/...
  ",Bad
"cozinhadoano.com/ericanas/produto/...
  ",Bad
"apppromoedigitalfimdeano.com/ericanas/login/...
  ",Bad
"will.unward.top/
 ",Good
"pichincha--webana.repl.co/
 ",Good
"pichinchana.repl.co/
 ",Good
"www.progradospontos.megilhas.online...
 ",Bad
"elcielo.restaurantt.repl.co/
 ",Good
"lncn.pro/?_openstat=ZGlyZWNLnlhbmRleCydTsNzUxODMOTsxMjUN...
 ",Bad
"gerenciador-caixagov.info
 ",Bad
"gerenciador-caixa.cloud
 ",Bad
"looksraring.com
 ",Good
"wwvcajaarequipa.com/
 ",Good
"www.ukiyonftpass.online/
 ",Bad
"ukiyopass.space/
 ",Good
"scare.heural.top/
 ",Good
"scare.heural.top/
",Good
"altisb.com/
 ",Bad
"virtualpichin.repl.co/
 ",Good
"msuaaparenciacliktectds.com/ericanas/endere%C%Ao/...
 ",Bad
"vaiviajarshop.com/estoque//&uid=SKU&...
 ",Bad
"virtualpichin--virtualpichin.repl.co/
 ",Good
"decidercomecouagoraja.com/wfq--czeg-bc-yjmztr/produto/...
 ",Bad
"ac-def-e-fe-d.id.repl.co/...
 ",Good
"ppikingos.nowonlinr.repl.co/
 ",Good
"ppikingos--nowonlinr.repl.co/
 ",Good
"cbfc-e-da--bcdddfa.id.repl.co/...
 ",Good
"ceron.photos
 ",Bad
"serviceunlinecredit.myftp.org/
 ",Bad
"access-fcu.web.app/
 ",Good
"access-fcu.firebaseapp.com/
 ",Good
"go-update-info-.gq/confirmid.php
 ",Good
"caisse-depargneregional.web.app/
 ",Good
"caisse-depargneregional.firebaseapp.com/...
 ",Good
"caseid.web.app/
 ",Good
"caseid.firebaseapp.com/...
 ",Good
"caseid.web.app/
 ",Good
"caseid.firebaseapp.com/...
 ",Good
"go-update-info-.tk/confirmid.php
 ",Good
"clic-here.web.app/
 ",Good
"clic-here.firebaseapp.com/
 ",Good
"device-valid-uk.web.app/
 ",Good
"device-valid-uk.firebaseapp.com/
 ",Good
"ericanaapp.com/ericanas/carrinho/
  ",Bad
"lojasericanasemofertas.com/ericanas/carrinho/...
  ",Bad
"mesdaofertasblack.com/ericanas/produto/...
  ",Bad
"cozinharenovada.com/ericanas/carrinho/...
  ",Bad
"mesdaofertasblack.com/ericanas/login/...
  ",Bad
"saldao-e-ericanas.online/ericanas/login/...
  ",Bad
"solucoesdepedidosetecds.com/ericanas/login/...
  ",Bad
"fritadeira-eletrica-aqui.com/ericanas/login/...
  ",Bad
"appedigitalpromofimdeano.com/ericanas/login/...
  ",Bad
"supersaldaoericanas.com/ericanas/produto/...
  ",Bad
"www.galages-store.ga/
  ",Bad
"www.foundationaparket.com/
  ",Bad
"www.galages-online.ga/
  ",Bad
"aptmonkeys.com/
  ",Bad
"inpost-pl-myidxs.ygklt.xyz/tracking/...
  ",Bad
"exdous.app
  ",Bad
"prsnbipro.x.mx/
  ",Bad
"s.us-east-.azonaws.com/aw-es-wau-sahwe/offers-aw-es-wau-sah...
  ",Bad
"www.bakeryswap.org/
  ",Bad
"us-central-nimble-button-.cloudfunctions.net/funcaopont...
  ",Bad
".../tienda/home/
  ",Bad
"exoduss.info
  ",Bad
"www.compansv.online/
  ",Bad
"www.poohcool.site/
  ",Bad
"basiakrzy.pl
  ",Bad
"mobile.rcebanque.tech/au
  ",Bad
"www.compans.online/
  ",Bad
"hn.mipagoclaro.com/
  ",Bad
"sitebuilder.dynadot.com
  ",Bad
"c.ferozo.com/
  ",Bad
"www.compans.store/
  ",Bad
"www.hancaweb--piinchiiincha.online/
  ",Bad
"ideehomedecor.space
  ",Bad
"exprxz.one/common/oau/v./auorize?client_id=b-c...
  ",Bad
"raydium.run/io/swap/index.html
  ",Bad
"lnch.org/?_openstat=ZGlyZWNLnlhbmRleCydTsNzUxODMOTsxMjUN...
  ",Bad
"lncn.tech/?_openstat=ZGlyZWNLnlhbmRleCydTsNzUxODMOTsxMjU...
  ",Bad
"tinyurl.com/yckwnaxr
  ",Bad
"b-cxh.bitrix.site/preview/dcabbdfbfaeffad...
  ",Bad
"oo.moneykt.sztar.net/sony/index.html...
 ",Bad
"documentc-d.web.app/
 ",Good
"documentc-d.firebaseapp.com/
 ",Good
"documente-eeaa.web.app/
 ",Good
"documente-eeaa.firebaseapp.com/
 ",Good
"mobile-secueconnections.web.app/
 ",Good
"mobile-secueconnections.firebaseapp.com/...
 ",Good
"myfileproject.web.app/
 ",Good
"myfileproject.firebaseapp.com/
 ",Good
"online-access-review.web.app/
 ",Good
"online-access-review.firebaseapp.com/
 ",Good
"sb-clic.web.app/
 ",Good
"sb-clic.firebaseapp.com/
 ",Good
"sb-clich.web.app/
 ",Good
"sb-clich.firebaseapp.com/
 ",Good
"sb-clict.web.app/
 ",Good
"sb-clict.firebaseapp.com/
 ",Good
"sb-herel.web.app/
 ",Good
"sb-herel.firebaseapp.com/
 ",Good
"sb-herem.web.app/
 ",Good
"sb-herem.firebaseapp.com/
 ",Good
"sb-page.web.app/
 ",Good
"sb-page.firebaseapp.com/
 ",Good
"sb-rere.web.app/
 ",Good
"sb-rere.firebaseapp.com/
 ",Good
"sbi-kyc-f.web.app/
 ",Good
"sbi-kyc-f.firebaseapp.com/
 ",Good
"hyp.ae/anPlv
 ",Bad
"ayedeal-bf.ingress-daribow.ewp.live//mt/...
 ",Good
"caseid..com/?fbclid=...
 ",Bad
"caseid..com/?fbclid=...
 ",Good
"biolumionsces.com
 ",Bad
"xnsbgflduz.duckdns.org
 ",Good
"msbc.cade-jp.in/
  ",Good
"msbc.cade-jp.in/all/login.php
  ",Good
"gotchayardsigns.com/jp
  ",Good
"company.kooding.com/logins/credit-card.php...
  ",Good
"company.kooding.com/logins/launcher.php...
  ",Good
"company.kooding.com/logins/login.php
  ",Good
"mmetatasmmasdex.azurewebsites.net/
  ",Good
"mmaetsmk.azurewebsites.net/
  ",Good
"oo-moneyklt.life/
 ",Bad
"exodus.emtel.co
  ",Bad
"qgbhdt.weeblysite.com/
  ",Bad
"wolfge-official.xyz/
  ",Bad
"air-drop.onlyorig.art/
  ",Bad
"oo.moneykt.sztar.net/sony/client/index_sp.html...
  ",Bad
"exodus.interhumanos.com
  ",Bad
"info-push.app/de/home/erfolg-online-banking.php...
 ",Bad
"airdrops-opensea.io/
  ",Bad
"t.co/EJvtoZRo
  ",Bad
"www.aruba-pac.vivadis.de/
  ",Bad
"exodus.coyhaiquedatos.cl
  ",Bad
"halo-wallet.com
  ",Bad
"caixadireta.online/homepage.php?cookies=none;browsing-time=...
  ",Bad
"caixadireta.online/
  ",Bad
"is.cn
  ",Bad
"lnch.org/?_openstat=ZGlyZWNLnlhbmRleCydTsNzUxODMOTsxMjUN...
  ",Bad
"lncn.tech/?_openstat=ZGlyZWNLnlhbmRleCydTsNzUxODMOTsxMjU...
  ",Bad
"exodus.colegiojuda.com.br
  ",Bad
"exodus.tresellos.com.br
  ",Bad
"xn--revke-ta.cash/
  ",Bad
"ac-world-galages.blogspot.com/
  ",Bad
"exodus.citedica.cl
  ",Bad
"www.lidoehome.com/
  ",Bad
"www.lidoehome.com/
  ",Bad
"exodus.lifeconnectionsbr.com.br
  ",Bad
"rsfatdigitalconsulta.shop/login.php
  ",Bad
"rsfatdigitalconsulta.shop/
  ",Bad
"solucoesrealizefatura.com
  ",Bad
"puspitasawargi.com/ltaupy/
  ",Bad
"administrareblocuri.com/
  ",Bad
"www.seeadify.com/
 ",Bad
"kprversemint.xyz/
 ",Bad
"drunkenmonkey.live/
 ",Bad
"exodus.conttacon.com.br
 ",Bad
"drunkenmonkey.live
 ",Bad
"loot-realms.xyz/
 ",Bad
"bmozm.com/
 ",Bad
"bmozs.com/
 ",Bad
"bmozc.com/
 ",Bad
"mmaetsmk.azurewebsites.net/
  ",Good
"weranompakla.ga/
  ",Good
"blog.kooding.com/log/i/flow/login.php...
  ",Good
"xnlgmvsdyk.duckdns.org
  ",Good
"xlzaaaanwk.duckdns.org
  ",Good
"xkbkfsxoja.duckdns.org
  ",Good
"xjqfuvxa.duckdns.org
  ",Good
"xihihhmllk.duckdns.org
  ",Good
"elongkopasasa.ga/
  ",Good
"recipientnabcancel.com/na
  ",Good
"recipientnabcancel.com
  ",Good
"storageapi.fleek.co/cbede--bf-beed-fcb-bucke...
  ",Good
"storageapi.fleek.co/dfac--c-e-aeabdda-bucke...
  ",Good
"dapponlineupdate.pages.dev/wallet/
  ",Good
"bancolombiabancario..repl.co/
  ",Good
"ranat.soportetecnic.repl.co/
  ",Good
"ranat.soportetecnic.repl.co/
  ",Good
"uspsyy.top/
  ",Good
"servicettrc.com/pckg/...
  ",Good
"aquiestaelmenu.com/app-shipping/USPS/
  ",Good
"csldas.com/cgi-bin/bill.php
  ",Good
"help-login-twitter.com/
  ",Good
"storageapi.fleek.co/de--d-a-bf-bucke...
  ",Good
"storageapi.fleek.co/efa--c-bc-deb-bucke...
  ",Good
"afiscopoint.yoganerds.org/common_profile_section/office.php?a...
  ",Good
"trini.myportfolio.com/
  ",Good
"verifynow.my.to/au/
  ",Good
"banca-virtual.colpatria.repl.co/
  ",Good
"banca-virtual.colpatria.repl.co/
  ",Good
"storageapi.fleek.co/cbab-ae-e-bfea-bbcb-bucke...
  ",Good
"storageapi.fleek.co/caae-f-f-c-becde-bucke...
  ",Good
"tzivirubin.com/wp-content/languages/www.impots.gouv.fr.zip/imp...
  ",Good
"banco-sabadell.es.swtest.ru/./
  ",Good
"banco-sabadell.es.swtest.ru/./
  ",Good
"clinks.netlify.app/
  ",Good
"ctt.o-dealy.cyou/
  ",Good
"baccabellabeans.com/closingdisclosure/index.html...
  ",Good
"www.casolaro.it/net/index.html?cli=cliente&/rgcyxhvy/towrpwu...
  ",Good
"idiomas.unh.edu.pe/wp-content/emes/ctravel-adven-lite/skin/f...
  ",Good
"nablogin.device-protectvisions-au.com/signin/login.php...
  ",Good
"msbc.cade-jp.in/
  ",Good
"msbc.cade-jp.in/all/login.php
  ",Good
"gotchayardsigns.com/jp
  ",Good
"company.kooding.com/logins/credit-card.php...
  ",Good
"company.kooding.com/logins/launcher.php...
  ",Good
"company.kooding.com/logins/login.php
  ",Good
"mmetatasmmasdex.azurewebsites.net/
  ",Good
"mmaetsmk.azurewebsites.net/
  ",Good
"--.repl.co/
  ",Good
"cpanelwh.bkk.cloud.z.com/~cp/var...
  ",Good
"mbankscz.online/unlock
  ",Good
"mbankscz.online
  ",Good
"obgynclub-bahrain.com/obgyn/kjjvt/confirmation.html...
  ",Good
"obgynclub-bahrain.com/obgyn/kjjvt/Login.php?sslchannel=tru...
  ",Good
"mikaros.cz/wordpress/#
  ",Good
"bogovirtualbank.djsak.repl.co/
  ",Good
"paxfulcb.vip
 ",Good
"great.ledfier.top/
 ",Good
"ever.diition.top/
 ",Good
"will.unward.top/
 ",Good
"pichincha--webana.repl.co/
 ",Good
"pichinchana.repl.co/
 ",Good
"www.progradospontos.megilhas.online...
 ",Bad
"elcielo.restaurantt.repl.co/
 ",Good
"virtualpichin--virtualpichin.repl.co/
 ",Good
"decidercomecouagoraja.com/wfq--czeg-bc-yjmztr/produto/...
 ",Bad
"ac-def-e-fe-d.id.repl.co/...
 ",Good
"ppikingos.nowonlinr.repl.co/
 ",Good
"ppikingos--nowonlinr.repl.co/
 ",Good
"cbfc-e-da--bcdddfa.id.repl.co/...
 ",Good
"ceron.photos
 ",Bad
"serviceunlinecredit.myftp.org/
 ",Bad
"access-fcu.web.app/
 ",Good
"access-fcu.firebaseapp.com/
 ",Good
"go-update-info-.gq/confirmid.php
 ",Good
"caisse-depargneregional.web.app/
 ",Good
"caisse-depargneregional.firebaseapp.com/...
 ",Good
"caseid.web.app/
 ",Good
"caseid.firebaseapp.com/...
 ",Good
"caseid.web.app/
 ",Good
"caseid.firebaseapp.com/...
 ",Good
"go-update-info-.tk/confirmid.php
 ",Good
"clic-here.web.app/
 ",Good
"clic-here.firebaseapp.com/
 ",Good
"device-valid-uk.web.app/
 ",Good
"device-valid-uk.firebaseapp.com/
 ",Good
"ericanaapp.com/ericanas/carrinho/
  ",Bad
"lojasericanasemofertas.com/ericanas/carrinho/...
  ",Bad
"mesdaofertasblack.com/ericanas/produto/...
  ",Bad
"cozinharenovada.com/ericanas/carrinho/...
  ",Bad
"mesdaofertasblack.com/ericanas/login/...
  ",Bad
"saldao-e-ericanas.online/ericanas/login/...
  ",Bad
"solucoesdepedidosetecds.com/ericanas/login/...
  ",Bad
"fritadeira-eletrica-aqui.com/ericanas/login/...
  ",Bad
"appedigitalpromofimdeano.com/ericanas/login/...
  ",Bad
"supersaldaoericanas.com/ericanas/produto/...
  ",Bad
"www.galages-store.ga/
  ",Bad
"www.foundationaparket.com/
  ",Bad
"www.galages-online.ga/
  ",Bad
"aptmonkeys.com/
  ",Bad
"exprxz.one/common/oau/v./auorize?client_id=b-c...
  ",Bad
"raydium.run/io/swap/index.html
  ",Bad
"lnch.org/?_openstat=ZGlyZWNLnlhbmRleCydTsNzUxODMOTsxMjUN...
  ",Bad
"lncn.tech/?_openstat=ZGlyZWNLnlhbmRleCydTsNzUxODMOTsxMjU...
  ",Bad
"tinyurl.com/yckwnaxr
  ",Bad
"b-cxh.bitrix.site/preview/dcabbdfbfaeffad...
  ",Bad
"oo.moneykt.sztar.net/sony/index.html...
 ",Bad
"documentc-d.web.app/
 ",Good
"documentc-d.firebaseapp.com/
 ",Good
"documente-eeaa.web.app/
 ",Good
"documente-eeaa.firebaseapp.com/
 ",Good
"mobile-secueconnections.web.app/
 ",Good
"mobile-secueconnections.firebaseapp.com/...
 ",Good
"myfileproject.web.app/
 ",Good
"myfileproject.firebaseapp.com/
 ",Good
"online-access-review.web.app/
 ",Good
"online-access-review.firebaseapp.com/
 ",Good
"sb-clic.web.app/
 ",Good
"sb-clic.firebaseapp.com/
 ",Good
"sb-clich.web.app/
 ",Good
"sb-clich.firebaseapp.com/
 ",Good
"sb-clict.web.app/
 ",Good
"sb-clict.firebaseapp.com/
 ",Good
"sb-herel.web.app/
 ",Good
"sb-herel.firebaseapp.com/
 ",Good
"sb-herem.web.app/
 ",Good
"sb-herem.firebaseapp.com/
 ",Good
"sb-page.web.app/
 ",Good
"sb-page.firebaseapp.com/
 ",Good
"sb-rere.web.app/
 ",Good
"sb-rere.firebaseapp.com/
 ",Good
"sbi-kyc-f.web.app/
 ",Good
"sbi-kyc-f.firebaseapp.com/
 ",Good
"hyp.ae/anPlv
 ",Bad
"ayedeal-bf.ingress-daribow.ewp.live//mt/...
 ",Good
"caseid..com/?fbclid=...
 ",Bad
"caseid..com/?fbclid=...
 ",Good
"biolumionsces.com
 ",Bad
"xnsbgflduz.duckdns.org
 ",Good
"msbc.cade-jp.in/
  ",Good
"msbc.cade-jp.in/all/login.php
  ",Good
"gotchayardsigns.com/jp
  ",Good
"company.kooding.com/logins/credit-card.php...
  ",Good
"company.kooding.com/logins/launcher.php...
  ",Good
"company.kooding.com/logins/login.php
  ",Good
"mmetatasmmasdex.azurewebsites.net/
  ",Good
"mmaetsmk.azurewebsites.net/
  ",Good
"oo-moneyklt.life/
 ",Bad
"exodus.emtel.co
  ",Bad
"qgbhdt.weeblysite.com/
  ",Bad
"wolfge-official.xyz/
  ",Bad
"air-drop.onlyorig.art/
  ",Bad
"oo.moneykt.sztar.net/sony/client/index_sp.html...
  ",Bad
"exodus.interhumanos.com
  ",Bad
"info-push.app/de/home/erfolg-online-banking.php...
 ",Bad
"airdrops-opensea.io/
  ",Bad
"t.co/EJvtoZRo
  ",Bad
"www.aruba-pac.vivadis.de/
  ",Bad
"exodus.coyhaiquedatos.cl
  ",Bad
"halo-wallet.com
  ",Bad
"caixadireta.online/homepage.php?cookies=none;browsing-time=...
  ",Bad
"caixadireta.online/
  ",Bad
"is.cn
  ",Bad
"lnch.org/?_openstat=ZGlyZWNLnlhbmRleCydTsNzUxODMOTsxMjUN...
  ",Bad
"lncn.tech/?_openstat=ZGlyZWNLnlhbmRleCydTsNzUxODMOTsxMjU...
  ",Bad
"exodus.colegiojuda.com.br
  ",Bad
"exodus.tresellos.com.br
  ",Bad
"xn--revke-ta.cash/
  ",Bad
"ac-world-galages.blogspot.com/
  ",Bad
"exodus.citedica.cl
  ",Bad
"www.lidoehome.com/
  ",Bad
"www.lidoehome.com/
  ",Bad
"exodus.lifeconnectionsbr.com.br
  ",Bad
"rsfatdigitalconsulta.shop/login.php
  ",Bad
"rsfatdigitalconsulta.shop/
  ",Bad
"solucoesrealizefatura.com
  ",Bad
"puspitasawargi.com/ltaupy/
  ",Bad
"administrareblocuri.com/
  ",Bad
"www.seeadify.com/
 ",Bad
"kprversemint.xyz/
 ",Bad
"drunkenmonkey.live/
 ",Bad
"exodus.conttacon.com.br
 ",Bad
"drunkenmonkey.live
 ",Bad
"loot-realms.xyz/
 ",Bad
"bmozm.com/
 ",Bad
"bmozs.com/
 ",Bad
"bmozc.com/
 ",Bad
"mmaetsmk.azurewebsites.net/
  ",Good
"weranompakla.ga/
  ",Good
"blog.kooding.com/log/i/flow/login.php...
  ",Good
"xnlgmvsdyk.duckdns.org
  ",Good
"xlzaaaanwk.duckdns.org
  ",Good
"xkbkfsxoja.duckdns.org
  ",Good
"xjqfuvxa.duckdns.org
  ",Good
"xihihhmllk.duckdns.org
  ",Good
"elongkopasasa.ga/
  ",Good
"recipientnabcancel.com/na
  ",Good
"recipientnabcancel.com
  ",Good
"storageapi.fleek.co/cbede--bf-beed-fcb-bucke...
  ",Good
"storageapi.fleek.co/dfac--c-e-aeabdda-bucke...
  ",Good
"romebarbies.com/jp
",Good
"rebrand.ly/e
",Good
"ctt.j-orders.online/
",Bad
"shortlinks.su/s/
",Bad
"fusewave.co.uk/.well-known/user/sbb-online/ticket/torsion/...
",Bad
"stakeenus.matrizluzenergia.com.br...
",Bad
"happylizard.build.wpsandbox.app/majahil/dpd/dpd/de/...
",Good
"jinhua.synicsw.com/news.html
",Bad
"fodstores.ne.ng/wp-includes/bt/BTnew/btconnect.php...
",Good
"natori.biz
 ",Bad
"natori.biz
 ",Bad
"bit[.]do/acualizar
 ",Bad
"fixedmoments.com/
 ",Good
"app.getresponse.com/site/bcefdedbbdfbbadb/?u=...
 ",Bad
"nablogin.device-protectvisions-online.com...
 ",Good
"eki-service.top/
 ",Bad
"galleryofemind.com/wp-includes/avito/motos/...
 ",Good
"www.dbs.digital-internet-web-sg.online...
 ",Good
"coinexglobal-login.tk/
 ",Bad
"app-coin-galages.blogspot.com/
  ",Bad
"optus-equifax.herokuapp.com
  ",Bad
"coinexglobal-login.ga/
 ",Bad
"coinexglobal-login.gq/
 ",Bad
"coinexglobal-login.ml/
 ",Bad
"www[.]dbs[.]digital-internet-web-sg[.]online...
 ",Bad
"www.azaon.co.jp.login.zfmcw.cn/ap/signin...
 ",Good
"www.azaon.co.jp.login.lbhmp.cn/ap/signin...
 ",Good
"www.azaon.co.jp.login.tfdjx.cn/ap/signin...
 ",Good
"www.azaon.co.jp.login.sgnmg.cn/ap/signin...
 ",Good
"bqmzx.com/
 ",Bad
"bumzx.com/
 ",Bad
"bumzc.com/
 ",Bad
"bcmzx.com/
 ",Bad
"aihome.jp
 ",Bad
"buffr.com
  ",Bad
"sepantaeng.com/wp-content/plugins/bt/BTnew/btconnect.php...
  ",Good
"SP-TO-BE-DELETED
  ",Bad
"xn--pecon-wqag.com/Claim/
   ",Bad
"premint-allowlist.art/
   ",Bad
"exodus.pourvous.top/main.html
   ",Bad
"igreenplus.com
   ",Bad
"ut.com/oalX
   ",Bad
"manglook.com/s/qRtYUP
   ",Bad
"teslabonus.org/
   ",Bad
"exodus.akasankhabari.ir/main.html
   ",Bad
"azukiskates-claim.com/#airdrop
   ",Bad
"penguinsmint.com/
   ",Bad
"prixtoconnect.com/
   ",Bad
"xn--dodles-wa.com/mint/
   ",Bad
"artblocks.chromie-squiggles.io/
   ",Bad
"exodus.qualitec-solution.com/main.html
   ",Bad
"www.galageshome.com/
   ",Bad
"www.galageshome.com/
   ",Bad
"exodus.almas-beauty.ir/main.html
   ",Bad
"binancecash.io/
   ",Bad
"binancecash.io
   ",Bad
"rtfkt-clodidas.com/
   ",Bad
"lnpost-info.rtyfyg.click/track?id=...
   ",Good
"prixtoconnect.com
   ",Good
"sba.instawp.xyz/impes/impes/cc.php
   ",Good
